,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,0,2,0,0,4,0
1,0,2,1,18,3,0
2,1,1,0,0,4,0
3,1,1,2,15,3,1
4,2,0,1,11,3,2
5,2,0,2,0,4,0
6,3,2,0,0,4,0
7,3,2,1,8,4,8
8,4,0,1,11,3,0
9,4,0,2,0,4,0
10,5,2,0,0,4,0
11,5,2,1,9,3,1
12,6,0,1,11,4,11
13,6,0,2,0,4,0
14,7,1,0,0,4,0
15,7,1,2,26,4,26
16,8,1,0,0,4,0
17,8,1,2,27,3,3
18,9,1,0,0,4,0
19,9,1,2,11,2,0
20,10,2,0,0,4,0
21,10,2,1,12,1,0
22,11,1,0,0,4,0
23,11,1,2,21,4,21
24,12,1,0,0,4,0
25,12,1,2,15,3,1
26,13,1,0,0,4,0
27,13,1,2,22,3,3
28,14,1,0,0,4,0
29,14,1,2,18,4,18
30,15,0,1,11,4,11
31,15,0,2,0,4,0
32,16,1,0,0,4,0
33,16,1,2,16,3,1
34,17,1,0,0,4,0
35,17,1,2,14,3,0
36,18,0,1,11,4,11
37,18,0,2,0,3,0
38,19,0,1,11,3,0
39,19,0,2,0,4,0
40,20,2,0,0,4,0
41,20,2,1,19,2,0
42,21,1,0,0,4,0
43,21,1,2,16,4,16
44,22,0,1,11,3,0
45,22,0,2,0,4,0
46,23,0,1,11,3,1
47,23,0,2,0,3,0
48,24,2,0,0,4,0
49,24,2,1,26,3,1
50,25,0,1,11,4,11
51,25,0,2,0,4,0
52,26,0,1,11,3,1
53,26,0,2,0,4,0
54,27,1,0,0,4,0
55,27,1,2,15,3,1
56,28,1,0,11,3,2
57,28,1,2,6,3,0
58,29,0,1,11,3,0
59,29,0,2,0,4,0
,,,,7.433333333,,151
,,,,446,,
