,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,80,3,0,31,6,0
1,80,3,1,24,9,0
2,80,3,2,10,14,0
3,81,0,1,17,15,0
4,81,0,2,23,9,0
5,81,0,3,3,11,0
6,82,2,0,20,15,0
7,82,2,1,32,9,0
8,82,2,3,8,11,0
9,83,2,0,31,15,0
10,83,2,1,44,10,0
11,83,2,3,5,9,0
12,84,0,1,26,14,0
13,84,0,2,11,9,0
14,84,0,3,23,5,0
15,85,2,0,19,9,0
16,85,2,1,16,16,0
17,85,2,3,24,9,0
18,86,0,1,41,10,0
19,86,0,2,15,13,0
20,86,0,3,5,11,0
21,87,1,0,35,4,0
22,87,1,2,30,8,0
23,87,1,3,24,12,0
24,88,3,0,19,4,0
25,88,3,1,26,10,0
26,88,3,2,27,13,0
27,89,0,1,23,9,0
28,89,0,2,12,11,0
29,89,0,3,27,6,0
30,90,2,0,26,5,0
31,90,2,1,27,11,0
32,90,2,3,23,10,0
33,91,3,0,13,12,0
34,91,3,1,16,14,0
35,91,3,2,35,8,0
36,92,3,0,24,8,0
37,92,3,1,19,9,0
38,92,3,2,24,10,0
39,93,1,0,28,12,0
40,93,1,2,30,9,0
41,93,1,3,3,10,0
42,94,3,0,10,15,0
43,94,3,1,16,15,0
44,94,3,2,22,10,0
45,95,1,0,18,13,0
46,95,1,2,22,5,0
47,95,1,3,8,11,0
48,96,2,0,18,15,0
49,96,2,1,35,10,0
50,96,2,3,11,11,0
51,97,0,1,21,8,0
52,97,0,2,23,14,0
53,97,0,3,43,11,0
54,98,1,0,13,12,0
55,98,1,2,25,8,0
56,98,1,3,13,10,0
57,99,2,0,21,9,0
58,99,2,1,31,10,0
59,99,2,3,13,8,0
60,100,0,1,9,13,0
61,100,0,2,34,8,0
62,100,0,3,9,10,0
63,101,0,1,31,7,0
64,101,0,2,7,12,0
65,101,0,3,5,12,0
66,102,2,0,21,13,0
67,102,2,1,37,9,0
68,102,2,3,8,6,0
69,103,1,0,39,12,0
70,103,1,2,14,9,0
71,103,1,3,6,10,0
72,104,0,1,19,12,0
73,104,0,2,25,6,0
74,104,0,3,5,12,0
75,105,3,0,10,10,0
76,105,3,1,20,12,0
77,105,3,2,36,11,0
78,106,2,0,10,14,0
79,106,2,1,34,8,0
80,106,2,3,7,14,0
81,107,0,1,18,12,0
82,107,0,2,24,8,0
83,107,0,3,1,20,1
84,108,2,0,34,12,0
85,108,2,1,26,12,0
86,108,2,3,11,12,0
87,109,3,0,19,11,0
88,109,3,1,36,9,0
89,109,3,2,9,10,0
90,110,0,1,20,9,0
91,110,0,2,14,11,0
92,110,0,3,4,8,0
93,111,0,1,14,9,0
94,111,0,2,13,11,0
95,111,0,3,4,12,0
96,112,3,0,17,9,0
97,112,3,1,20,13,0
98,112,3,2,14,10,0
99,113,0,1,45,7,0
100,113,0,2,22,10,0
101,113,0,3,9,13,0
102,114,2,0,7,11,0
103,114,2,1,36,8,0
104,114,2,3,30,8,0
105,115,2,0,26,5,0
106,115,2,1,28,16,0
107,115,2,3,9,16,0
108,116,1,0,13,11,0
109,116,1,2,27,11,0
110,116,1,3,36,9,0
111,117,2,0,12,7,0
112,117,2,1,5,16,0
113,117,2,3,32,9,0
114,118,0,1,39,7,0
115,118,0,2,11,14,0
116,118,0,3,16,9,0
117,119,3,0,22,4,0
118,119,3,1,22,11,0
119,119,3,2,26,11,0
120,120,0,1,7,7,0
121,120,0,2,19,10,0
122,120,0,3,13,12,0
123,121,2,0,30,9,0
124,121,2,1,26,8,0
125,121,2,3,25,9,0
126,122,3,0,23,12,0
127,122,3,1,15,10,0
128,122,3,2,22,15,0
129,123,1,0,24,11,0
130,123,1,2,9,5,0
131,123,1,3,4,16,0
132,124,1,0,4,11,0
133,124,1,2,44,5,0
134,124,1,3,32,11,0
135,125,1,0,21,9,0
136,125,1,2,16,8,0
137,125,1,3,10,10,0
138,126,0,1,19,11,0
139,126,0,2,32,6,0
140,126,0,3,1,15,0
141,127,0,1,17,15,1
142,127,0,2,19,12,0
143,127,0,3,22,6,0
144,128,1,0,16,7,0
145,128,1,2,7,16,0
146,128,1,3,2,12,0
147,129,2,0,14,9,0
148,129,2,1,17,16,0
149,129,2,3,3,10,0
150,130,2,0,26,8,0
151,130,2,1,36,9,0
152,130,2,3,37,12,0
153,131,0,1,21,15,0
154,131,0,2,20,11,0
155,131,0,3,22,2,0
156,132,1,0,4,14,0
157,132,1,2,22,9,0
158,132,1,3,28,7,0
159,133,2,0,23,8,0
160,133,2,1,29,13,0
161,133,2,3,22,10,0
162,134,0,1,44,6,0
163,134,0,2,6,12,0
164,134,0,3,9,13,0
165,135,2,0,22,15,0
166,135,2,1,9,16,0
167,135,2,3,36,4,0
168,136,1,0,13,14,0
169,136,1,2,14,7,0
170,136,1,3,15,8,0
171,137,0,1,33,4,0
172,137,0,2,19,10,0
173,137,0,3,4,16,0
174,138,2,0,37,12,0
175,138,2,1,22,13,0
176,138,2,3,7,7,0
177,139,2,0,9,11,0
178,139,2,1,15,10,0
179,139,2,3,13,12,0
180,140,1,0,3,5,0
181,140,1,2,14,8,0
182,140,1,3,29,14,0
183,141,0,1,11,13,0
184,141,0,2,20,10,0
185,141,0,3,6,13,0
186,142,3,0,35,4,0
187,142,3,1,4,14,0
188,142,3,2,15,14,0
189,143,1,0,23,6,0
190,143,1,2,28,12,0
191,143,1,3,13,12,0
192,144,2,0,29,16,0
193,144,2,1,33,13,0
194,144,2,3,0,19,0
195,145,0,1,38,7,0
196,145,0,2,10,14,0
197,145,0,3,4,15,0
198,146,2,0,23,13,0
199,146,2,1,23,8,0
200,146,2,3,24,10,0
201,147,0,1,10,10,0
202,147,0,2,22,5,0
203,147,0,3,11,8,0
204,148,1,0,10,15,0
205,148,1,2,18,11,0
206,148,1,3,26,4,0
207,149,0,1,14,10,0
208,149,0,2,28,14,0
209,149,0,3,9,9,0
210,150,3,0,14,12,0
211,150,3,1,20,15,0
212,150,3,2,26,7,0
213,151,1,0,29,14,0
214,151,1,2,15,5,0
215,151,1,3,9,15,0
216,152,1,0,16,13,0
217,152,1,2,20,11,0
218,152,1,3,43,4,0
219,153,1,0,34,13,0
220,153,1,2,37,5,0
221,153,1,3,2,6,0
222,154,2,0,18,8,0
223,154,2,1,13,16,0
224,154,2,3,6,10,0
225,155,1,0,31,6,0
226,155,1,2,15,10,0
227,155,1,3,7,9,0
228,156,0,1,13,13,0
229,156,0,2,27,10,0
230,156,0,3,2,14,0
231,157,1,0,19,7,0
232,157,1,2,17,14,0
233,157,1,3,13,2,0
234,158,1,0,29,7,0
235,158,1,2,9,13,0
236,158,1,3,8,14,0
237,159,2,0,17,8,0
238,159,2,1,35,11,0
239,159,2,3,23,10,0
