,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,160,0,1,29,6,0
1,160,0,2,24,11,0
2,160,0,3,10,12,0
3,161,2,0,9,11,0
4,161,2,1,15,8,0
5,161,2,3,19,10,0
6,162,3,0,21,7,0
7,162,3,1,21,11,0
8,162,3,2,25,12,0
9,163,3,0,7,14,0
10,163,3,1,24,13,0
11,163,3,2,13,14,0
12,164,2,0,30,9,0
13,164,2,1,29,10,0
14,164,2,3,5,8,0
15,165,0,1,19,12,0
16,165,0,2,8,12,0
17,165,0,3,4,12,0
18,166,1,0,33,12,0
19,166,1,2,30,4,0
20,166,1,3,4,13,0
21,167,1,0,10,7,0
22,167,1,2,39,10,0
23,167,1,3,11,15,0
24,168,3,0,9,13,0
25,168,3,1,17,12,0
26,168,3,2,22,12,0
27,169,2,0,28,7,0
28,169,2,1,9,16,0
29,169,2,3,9,9,0
30,170,2,0,45,10,0
31,170,2,1,18,9,0
32,170,2,3,3,13,0
33,171,1,0,21,10,0
34,171,1,2,20,11,0
35,171,1,3,7,14,0
36,172,1,0,23,10,0
37,172,1,2,2,7,0
38,172,1,3,9,14,0
39,173,0,1,28,8,0
40,173,0,2,6,13,0
41,173,0,3,8,16,0
42,174,3,0,15,10,0
43,174,3,1,11,15,0
44,174,3,2,44,6,0
45,175,0,1,16,5,0
46,175,0,2,20,14,0
47,175,0,3,9,14,0
48,176,2,0,38,10,0
49,176,2,1,19,11,0
50,176,2,3,14,11,0
51,177,2,0,17,11,0
52,177,2,1,21,12,0
53,177,2,3,7,14,0
54,178,1,0,20,12,0
55,178,1,2,12,11,0
56,178,1,3,4,7,0
57,179,2,0,28,9,0
58,179,2,1,30,10,0
59,179,2,3,11,12,0
60,180,0,1,8,18,0
61,180,0,2,34,7,0
62,180,0,3,5,12,0
63,181,0,1,15,12,0
64,181,0,2,30,5,0
65,181,0,3,2,9,0
66,182,2,0,36,15,0
67,182,2,1,19,12,0
68,182,2,3,1,12,0
69,183,1,0,21,11,0
70,183,1,2,32,6,0
71,183,1,3,4,9,0
72,184,3,0,14,10,0
73,184,3,1,31,10,0
74,184,3,2,27,8,0
75,185,2,0,11,10,0
76,185,2,1,13,10,0
77,185,2,3,28,9,0
78,186,0,1,44,6,0
