,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,240,1,0,9,10,0
1,240,1,2,18,10,0
2,240,1,3,6,17,0
3,241,2,0,9,11,0
4,241,2,1,9,6,0
5,241,2,3,25,10,0
6,242,1,0,7,8,0
7,242,1,2,25,11,0
8,242,1,3,11,7,0
9,243,3,0,7,9,0
10,243,3,1,16,14,0
11,243,3,2,10,9,0
12,244,0,1,14,5,0
13,244,0,2,7,15,0
14,244,0,3,8,13,0
15,245,2,0,18,7,0
16,245,2,1,14,8,0
17,245,2,3,14,15,0
18,246,1,0,20,9,0
19,246,1,2,9,6,0
20,246,1,3,4,15,0
21,247,1,0,25,8,0
22,247,1,2,18,7,0
23,247,1,3,9,13,0
24,248,2,0,15,6,0
25,248,2,1,33,8,0
26,248,2,3,26,10,0
27,249,2,0,10,14,0
28,249,2,1,24,12,0
29,249,2,3,17,6,0
30,250,2,0,29,10,0
31,250,2,1,21,10,0
32,250,2,3,22,13,0
33,251,0,1,24,17,0
34,251,0,2,18,16,0
35,251,0,3,39,3,0
36,252,2,0,23,10,0
37,252,2,1,24,9,0
38,252,2,3,3,14,0
39,253,2,0,6,16,0
40,253,2,1,22,14,1
41,253,2,3,31,8,0
42,254,2,0,12,12,0
43,254,2,1,22,11,0
44,254,2,3,38,8,0
45,255,2,0,21,16,0
46,255,2,1,31,11,0
47,255,2,3,19,6,0
48,256,3,0,8,11,0
49,256,3,1,27,11,0
50,256,3,2,13,8,0
51,257,3,0,15,9,0
52,257,3,1,16,10,0
53,257,3,2,39,10,0
54,258,2,0,24,6,0
55,258,2,1,27,10,0
56,258,2,3,45,8,0
57,259,2,0,4,14,0
58,259,2,1,14,15,0
59,259,2,3,35,6,0
60,260,2,0,4,15,0
61,260,2,1,25,6,0
62,260,2,3,26,14,0
63,261,0,1,24,5,0
64,261,0,2,15,13,0
65,261,0,3,6,11,0
66,262,2,0,10,13,0
67,262,2,1,37,8,0
68,262,2,3,24,9,0
69,263,1,0,10,18,0
70,263,1,2,27,3,0
71,263,1,3,12,10,0
72,264,1,0,25,5,0
73,264,1,2,27,11,0
74,264,1,3,11,11,0
75,265,0,1,26,4,0
76,265,0,2,28,9,0
77,265,0,3,11,17,0
78,266,2,0,24,10,0
79,266,2,1,11,12,0
80,266,2,3,23,12,0
81,267,0,1,27,11,0
82,267,0,2,26,11,0
