,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,320,1,0,35,15,0
1,320,1,2,12,4,0
2,320,1,3,8,13,0
3,321,2,0,25,10,0
4,321,2,1,14,15,0
5,321,2,3,19,6,0
6,322,2,0,24,9,0
7,322,2,1,8,16,0
8,322,2,3,34,7,0
9,323,2,0,10,10,0
10,323,2,1,23,9,0
11,323,2,3,43,10,0
12,324,1,0,20,11,0
13,324,1,2,23,12,0
14,324,1,3,18,9,0
15,325,0,1,11,4,0
16,325,0,2,6,13,0
17,325,0,3,13,14,0
18,326,2,0,16,11,0
19,326,2,1,35,10,0
20,326,2,3,3,9,0
21,327,1,0,27,12,0
22,327,1,2,9,4,0
23,327,1,3,15,12,0
24,328,1,0,19,10,0
25,328,1,2,30,9,0
26,328,1,3,24,8,0
27,329,2,0,12,10,0
28,329,2,1,38,11,0
29,329,2,3,28,8,0
30,330,2,0,17,9,0
31,330,2,1,29,10,0
32,330,2,3,25,7,0
33,331,0,1,7,13,0
34,331,0,2,11,13,0
35,331,0,3,8,14,0
36,332,1,0,23,10,0
37,332,1,2,33,13,0
38,332,1,3,28,7,0
39,333,2,0,17,9,0
40,333,2,1,17,10,0
41,333,2,3,20,9,0
42,334,2,0,26,8,0
43,334,2,1,15,11,0
44,334,2,3,5,13,0
45,335,0,1,26,12,0
46,335,0,2,16,12,0
47,335,0,3,9,12,0
48,336,3,0,14,9,0
49,336,3,1,30,13,0
50,336,3,2,16,15,0
51,337,0,1,30,6,0
52,337,0,2,5,7,0
53,337,0,3,8,12,0
54,338,1,0,34,8,0
55,338,1,2,6,12,0
56,338,1,3,7,15,0
57,339,1,0,6,9,0
58,339,1,2,11,8,0
59,339,1,3,26,6,0
60,340,1,0,36,12,0
61,340,1,2,10,13,0
62,340,1,3,19,5,0
63,341,3,0,17,13,0
64,341,3,1,43,4,0
65,341,3,2,17,16,0
66,342,0,1,21,12,0
67,342,0,2,27,8,0
68,342,0,3,17,7,0
69,343,0,1,24,13,0
70,343,0,2,9,13,0
71,343,0,3,17,10,0
72,344,0,1,21,16,0
73,344,0,2,22,7,0
74,344,0,3,9,16,0
75,345,2,0,8,12,0
76,345,2,1,27,13,0
77,345,2,3,18,11,0
78,346,2,0,18,6,0
79,346,2,1,41,9,0
80,346,2,3,19,9,0
81,347,0,1,33,12,0
82,347,0,2,14,5,0
83,347,0,3,18,13,0
84,348,1,0,23,9,0
85,348,1,2,27,10,0
86,348,1,3,8,10,0
87,349,1,0,8,17,0
88,349,1,2,4,9,0
89,349,1,3,36,10,0
90,350,2,0,25,8,0
91,350,2,1,19,9,0
92,350,2,3,8,12,0
93,351,0,1,26,10,0
94,351,0,2,6,14,0
95,351,0,3,13,4,0
96,352,0,1,29,9,0
97,352,0,2,29,10,0
98,352,0,3,8,12,0
99,353,3,0,21,9,0
100,353,3,1,18,11,0
101,353,3,2,32,13,0
102,354,3,0,11,8,0
103,354,3,1,20,11,0
104,354,3,2,28,6,0
105,355,0,1,35,9,0
106,355,0,2,18,10,0
107,355,0,3,21,12,0
108,356,1,0,10,17,0
109,356,1,2,14,5,0
110,356,1,3,19,14,0
111,357,1,0,34,10,0
112,357,1,2,13,11,0
113,357,1,3,10,11,0
114,358,0,1,27,6,0
115,358,0,2,7,16,0
116,358,0,3,2,12,0
117,359,3,0,28,10,0
118,359,3,1,20,14,0
119,359,3,2,19,13,0
120,360,1,0,36,12,0
121,360,1,2,26,5,0
122,360,1,3,1,16,0
123,361,0,1,18,11,0
124,361,0,2,26,12,0
125,361,0,3,14,9,0
126,362,1,0,21,14,0
127,362,1,2,13,6,0
128,362,1,3,17,8,0
129,363,1,0,5,12,0
130,363,1,2,43,9,0
131,363,1,3,11,15,0
132,364,2,0,20,7,0
133,364,2,1,16,10,0
134,364,2,3,27,6,0
135,365,3,0,33,11,0
136,365,3,1,22,11,0
137,365,3,2,22,10,0
138,366,0,1,34,13,0
139,366,0,2,24,4,0
140,366,0,3,22,9,0
141,367,2,0,36,8,0
142,367,2,1,18,16,0
143,367,2,3,17,10,0
144,368,0,1,12,17,0
145,368,0,2,32,5,0
146,368,0,3,6,12,0
147,369,2,0,15,12,0
