,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,0,0,1,15,3,0
1,0,0,2,15,2,0
2,0,0,3,4,3,0
3,1,2,0,16,1,0
4,1,2,1,10,3,0
5,1,2,3,17,4,0
6,2,1,0,23,1,0
7,2,1,2,13,3,0
8,2,1,3,12,5,0
9,3,3,0,10,2,0
10,3,3,1,13,1,0
11,3,3,2,19,3,0
12,4,1,0,12,4,0
13,4,1,2,15,2,0
14,4,1,3,15,2,0
15,5,1,0,16,1,0
16,5,1,2,33,3,0
17,5,1,3,7,6,0
18,6,2,0,20,1,0
19,6,2,1,14,11,0
20,6,2,3,7,4,0
21,7,0,1,13,7,0
22,7,0,2,9,2,0
23,7,0,3,7,5,0
24,8,3,0,13,3,0
25,8,3,1,13,1,0
26,8,3,2,15,4,0
27,9,1,0,12,4,0
28,9,1,2,33,2,0
29,9,1,3,10,2,0
30,10,0,1,15,2,0
31,10,0,2,14,3,0
32,10,0,3,10,2,0
33,11,0,1,26,12,0
34,11,0,2,14,3,0
35,11,0,3,9,4,0
36,12,2,0,12,3,0
37,12,2,1,16,4,0
38,12,2,3,16,3,0
39,13,3,0,6,3,0
40,13,3,1,11,2,0
41,13,3,2,11,3,0
42,14,3,0,5,6,0
43,14,3,1,14,5,0
44,14,3,2,36,7,0
45,15,2,0,12,2,0
46,15,2,1,8,4,0
47,15,2,3,19,3,0
48,16,3,0,6,2,0
49,16,3,1,15,2,0
50,16,3,2,18,2,0
51,17,3,0,5,3,0
52,17,3,1,10,2,0
53,17,3,2,13,3,0
54,18,1,0,14,2,0
55,18,1,2,11,5,0
56,18,1,3,11,3,0
57,19,0,1,16,3,0
58,19,0,2,15,2,0
59,19,0,3,11,3,0
60,20,0,1,11,12,0
61,20,0,2,11,3,0
62,20,0,3,6,4,0
63,21,2,0,10,6,0
64,21,2,1,38,7,0
65,21,2,3,16,1,0
66,22,1,0,26,4,0
67,22,1,2,11,3,0
68,22,1,3,10,4,0
69,23,2,0,7,6,0
70,23,2,1,14,11,0
71,23,2,3,23,1,0
72,24,0,1,20,6,0
73,24,0,2,12,5,0
74,24,0,3,5,4,0
75,25,1,0,17,6,0
76,25,1,2,13,2,0
77,25,1,3,12,2,0
78,26,3,0,8,4,0
79,26,3,1,8,2,0
80,26,3,2,32,3,0
81,27,2,0,17,4,0
82,27,2,1,11,1,0
83,27,2,3,42,5,0
84,28,2,0,10,3,0
85,28,2,1,14,3,0
86,28,2,3,14,3,0
87,29,0,1,15,3,0
88,29,0,2,11,2,0
89,29,0,3,5,3,0
90,30,0,1,19,5,0
91,30,0,2,13,2,0
92,30,0,3,13,3,0
93,31,0,1,18,4,0
94,31,0,2,5,4,0
95,31,0,3,6,5,0
96,32,3,0,8,3,0
97,32,3,1,11,1,0
98,32,3,2,18,5,0
99,33,0,1,22,4,0
100,33,0,2,9,2,0
101,33,0,3,12,3,0
102,34,1,0,15,2,0
103,34,1,2,19,6,0
104,34,1,3,17,2,0
105,35,1,0,12,2,0
106,35,1,2,25,6,0
107,35,1,3,15,2,0
108,36,2,0,11,1,0
109,36,2,1,8,1,0
110,36,2,3,33,6,0
111,37,0,1,12,2,0
112,37,0,2,14,1,0
113,37,0,3,8,2,0
114,38,3,0,9,3,0
115,38,3,1,14,1,0
116,38,3,2,13,2,0
117,39,0,1,13,4,0
118,39,0,2,9,2,0
119,39,0,3,17,1,0
120,40,2,0,18,1,0
121,40,2,1,14,12,0
122,40,2,3,11,6,0
123,41,3,0,6,2,0
124,41,3,1,13,1,0
125,41,3,2,27,4,0
126,42,2,0,7,5,0
127,42,2,1,13,11,0
128,42,2,3,22,2,0
129,43,0,1,19,2,0
130,43,0,2,16,2,0
131,43,0,3,8,2,0
132,44,2,0,12,1,0
133,44,2,1,14,1,0
134,44,2,3,43,8,0
135,45,3,0,11,5,0
136,45,3,1,8,8,0
137,45,3,2,43,7,0
138,46,2,0,11,3,0
139,46,2,1,21,3,0
140,46,2,3,15,6,0
141,47,1,0,15,5,0
142,47,1,2,15,3,0
143,47,1,3,15,3,0
144,48,3,0,2,4,0
145,48,3,1,10,1,0
146,48,3,2,15,4,0
147,49,1,0,14,8,0
148,49,1,2,19,2,0
149,49,1,3,8,2,0
150,50,3,0,5,8,0
151,50,3,1,12,2,0
152,50,3,2,10,3,0
153,51,1,0,18,3,0
154,51,1,2,14,4,0
