,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,0,0,1,13,10,0
1,0,0,2,16,2,0
2,0,0,3,5,5,0
3,1,2,0,16,2,0
4,1,2,1,8,10,0
5,1,2,3,16,9,0
6,2,1,0,21,3,0
7,2,1,2,20,8,0
8,2,1,3,6,4,0
9,3,3,0,11,1,0
10,3,3,1,12,8,0
11,3,3,2,18,12,0
12,4,1,0,13,6,0
13,4,1,2,6,10,0
14,4,1,3,12,5,0
15,5,2,0,15,1,0
16,5,2,1,27,6,0
17,5,2,3,7,6,0
18,6,2,0,15,1,0
19,6,2,1,13,7,0
20,6,2,3,3,16,0
21,7,0,1,11,13,0
22,7,0,2,15,2,0
23,7,0,3,7,7,0
24,8,3,0,10,6,0
25,8,3,1,21,2,0
26,8,3,2,15,11,0
27,9,1,0,11,10,0
28,9,1,2,14,11,0
29,9,1,3,12,8,0
30,10,0,1,21,10,0
31,10,0,2,12,9,0
32,10,0,3,10,2,0
33,11,1,0,33,6,0
34,11,1,2,10,3,0
35,11,1,3,10,3,0
36,12,2,0,12,3,0
37,12,2,1,18,8,0
38,12,2,3,16,8,0
39,13,3,0,6,4,0
40,13,3,1,15,1,0
41,13,3,2,18,11,0
42,14,2,0,5,5,0
43,14,2,1,17,12,0
44,14,2,3,15,3,0
45,15,2,0,12,2,0
46,15,2,1,11,11,0
47,15,2,3,17,7,0
48,16,3,0,3,2,0
49,16,3,1,18,2,0
50,16,3,2,17,8,0
51,17,3,0,5,3,0
52,17,3,1,10,2,0
53,17,3,2,14,7,0
54,18,1,0,13,7,0
55,18,1,2,11,16,0
56,18,1,3,10,3,0
57,19,0,1,15,8,0
58,19,0,2,14,4,0
59,19,0,3,6,5,0
60,20,0,1,11,11,0
61,20,0,2,13,7,0
62,20,0,3,7,4,0
63,21,1,0,10,10,0
64,21,1,2,5,7,0
65,21,1,3,16,2,0
66,22,1,0,24,4,0
67,22,1,2,14,10,0
68,22,1,3,13,8,0
69,23,2,0,7,7,0
70,23,2,1,38,9,0
71,23,2,3,21,4,0
72,24,0,1,29,9,0
73,24,0,2,12,6,0
74,24,0,3,6,5,0
75,25,1,0,17,7,0
76,25,1,2,14,6,0
77,25,1,3,11,3,0
78,26,3,0,8,3,0
79,26,3,1,8,5,0
80,26,3,2,45,8,0
81,27,2,0,15,10,0
82,27,2,1,14,1,0
83,27,2,3,44,5,0
84,28,2,0,10,6,0
85,28,2,1,12,12,0
86,28,2,3,15,6,0
87,29,0,1,15,11,0
88,29,0,2,12,2,0
89,29,0,3,4,9,0
90,30,0,1,9,9,0
91,30,0,2,7,14,0
92,30,0,3,14,3,0
93,31,0,1,17,10,0
94,31,0,2,8,4,0
95,31,0,3,6,4,0
96,32,3,0,7,3,0
97,32,3,1,14,2,0
98,32,3,2,19,8,0
99,33,0,1,16,11,0
100,33,0,2,13,8,0
101,33,0,3,11,3,0
102,34,1,0,16,9,0
103,34,1,2,17,7,0
104,34,1,3,14,3,0
105,35,1,0,12,1,0
106,35,1,2,20,6,0
107,35,1,3,20,5,0
108,36,2,0,10,1,0
109,36,2,1,9,5,0
110,36,2,3,41,12,0
111,37,0,1,15,10,0
112,37,0,2,9,7,0
113,37,0,3,9,5,0
114,38,3,0,8,3,0
115,38,3,1,15,1,0
116,38,3,2,17,9,0
117,39,0,1,17,8,0
118,39,0,2,9,5,0
119,39,0,3,15,1,0
120,40,2,0,18,5,0
121,40,2,1,10,14,0
122,40,2,3,11,8,0
123,41,3,0,9,2,0
124,41,3,1,15,2,0
125,41,3,2,27,6,0
126,42,2,0,9,3,0
127,42,2,1,1,9,0
128,42,2,3,19,11,0
129,43,0,1,15,9,0
130,43,0,2,16,2,0
131,43,0,3,9,5,0
132,44,3,0,11,1,0
133,44,3,1,12,3,0
134,44,3,2,16,7,0
135,45,2,0,11,9,0
136,45,2,1,7,12,0
137,45,2,3,24,5,0
138,46,1,0,10,3,0
139,46,1,2,46,11,0
140,46,1,3,17,10,0
141,47,1,0,19,5,0
142,47,1,2,16,9,0
143,47,1,3,13,2,0
144,48,3,0,2,5,0
145,48,3,1,13,1,0
146,48,3,2,13,11,0
147,49,1,0,20,13,0
148,49,1,2,16,7,0
149,49,1,3,8,5,0
150,50,3,0,5,4,0
151,50,3,1,15,1,0
152,50,3,2,13,12,0
153,51,1,0,16,10,0
154,51,1,2,13,8,0
155,51,1,3,9,3,0
156,52,0,1,22,5,0
157,52,0,2,9,12,0
158,52,0,3,5,4,0
159,53,0,1,14,12,0
160,53,0,2,12,6,0
161,53,0,3,7,5,0
162,54,1,0,17,7,0
163,54,1,2,16,9,0
164,54,1,3,8,9,0
165,55,1,0,13,6,0
166,55,1,2,20,7,0
167,55,1,3,9,9,0
168,56,1,0,18,3,0
169,56,1,2,12,9,0
170,56,1,3,11,5,0
171,57,2,0,5,12,0
172,57,2,1,11,14,0
173,57,2,3,22,5,0
174,58,0,1,13,16,0
175,58,0,2,13,4,0
176,58,0,3,6,4,0
177,59,0,1,27,7,0
178,59,0,2,12,16,0
179,59,0,3,2,2,0
180,60,0,1,41,6,0
181,60,0,2,13,5,0
182,60,0,3,10,4,0
183,61,3,0,8,3,0
184,61,3,1,9,9,0
185,61,3,2,22,7,0
186,62,3,0,10,1,0
187,62,3,1,13,8,0
188,62,3,2,27,7,0
189,63,1,0,20,3,0
190,63,1,2,35,7,0
191,63,1,3,8,8,0
192,64,0,1,29,11,0
193,64,0,2,10,8,0
194,64,0,3,8,6,0
195,65,0,1,16,9,0
196,65,0,2,13,7,0
197,65,0,3,11,6,0
198,66,3,0,7,3,0
199,66,3,1,10,6,0
200,66,3,2,20,6,0
201,67,3,0,5,3,0
202,67,3,1,11,9,0
203,67,3,2,15,11,0
204,68,1,0,23,5,0
205,68,1,2,24,6,0
206,68,1,3,9,4,0
207,69,2,0,9,9,0
208,69,2,1,29,8,0
209,69,2,3,14,9,0
210,70,2,0,17,2,0
211,70,2,1,21,10,0
212,70,2,3,11,9,0
213,71,3,0,6,3,0
214,71,3,1,11,3,0
215,71,3,2,47,12,0
216,72,0,1,13,9,0
217,72,0,2,14,1,0
218,72,0,3,6,11,0
219,73,1,0,15,8,0
220,73,1,2,15,7,0
221,73,1,3,7,7,0
222,74,2,0,12,3,0
223,74,2,1,12,7,0
224,74,2,3,35,9,0
225,75,0,1,18,8,0
226,75,0,2,11,1,0
227,75,0,3,8,9,0
228,76,0,1,19,9,0
229,76,0,2,14,3,0
230,76,0,3,14,7,0
231,77,3,0,3,2,0
232,77,3,1,14,6,0
233,77,3,2,21,9,0
234,78,2,0,8,4,0
235,78,2,1,21,3,0
236,78,2,3,13,10,0
237,79,2,0,11,1,0
238,79,2,1,6,8,0
239,79,2,3,12,11,0
240,80,3,0,10,1,0
241,80,3,1,16,3,0
242,80,3,2,11,13,0
243,81,2,0,15,3,0
244,81,2,1,17,9,0
245,81,2,3,11,8,0
246,82,1,0,13,8,0
247,82,1,2,17,6,0
248,82,1,3,9,8,0
249,83,0,1,23,8,0
250,83,0,2,10,8,0
251,83,0,3,4,3,0
252,84,1,0,13,9,0
253,84,1,2,13,9,0
254,84,1,3,12,2,0
255,85,3,0,8,2,0
256,85,3,1,11,2,0
257,85,3,2,19,9,0
258,86,1,0,19,6,0
259,86,1,2,44,10,0
260,86,1,3,14,9,0
261,87,3,0,7,3,0
262,87,3,1,14,8,0
263,87,3,2,16,8,0
264,88,3,0,5,2,0
265,88,3,1,13,1,0
266,88,3,2,19,12,0
267,89,0,1,18,7,0
268,89,0,2,12,12,0
269,89,0,3,14,2,0
270,90,3,0,9,3,0
271,90,3,1,16,3,0
272,90,3,2,17,10,0
273,91,3,0,7,7,0
274,91,3,1,12,5,0
275,91,3,2,20,7,0
276,92,2,0,9,2,0
277,92,2,1,7,9,0
278,92,2,3,19,7,0
279,93,1,0,17,10,0
280,93,1,2,18,9,0
281,93,1,3,6,3,0
282,94,3,0,7,7,0
283,94,3,1,10,2,0
284,94,3,2,13,9,0
285,95,2,0,8,4,0
286,95,2,1,26,10,0
287,95,2,3,14,13,0
288,96,2,0,11,4,0
289,96,2,1,18,13,0
290,96,2,3,13,4,0
291,97,3,0,6,3,0
292,97,3,1,14,2,0
293,97,3,2,20,11,0
294,98,2,0,12,1,0
295,98,2,1,45,6,0
296,98,2,3,7,8,0
297,99,1,0,17,12,0
298,99,1,2,8,9,0
299,99,1,3,16,3,0
300,100,0,1,11,9,0
301,100,0,2,10,6,0
302,100,0,3,10,6,0
303,101,0,1,22,8,0
304,101,0,2,12,6,0
305,101,0,3,7,5,0
306,102,1,0,22,9,0
307,102,1,2,23,5,0
308,102,1,3,5,9,0
309,103,0,1,23,5,0
310,103,0,2,9,3,0
311,103,0,3,7,5,0
312,104,0,1,13,12,0
313,104,0,2,15,1,0
314,104,0,3,4,1,0
315,105,3,0,9,3,0
316,105,3,1,7,12,0
317,105,3,2,21,9,0
318,106,2,0,8,2,0
319,106,2,1,16,5,0
320,106,2,3,37,9,0
321,107,0,1,17,14,0
322,107,0,2,13,1,0
323,107,0,3,3,7,0
324,108,1,0,21,2,0
325,108,1,2,16,6,0
326,108,1,3,10,9,0
327,109,1,0,12,8,0
