,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,0,0,1,17,3,0
1,0,0,2,16,2,0
2,0,0,3,5,9,0
3,1,2,0,15,1,0
4,1,2,1,14,7,0
5,1,2,3,18,7,0
6,2,1,0,33,2,0
7,2,1,2,23,3,0
8,2,1,3,11,9,0
9,3,3,0,11,1,0
10,3,3,1,13,4,0
11,3,3,2,15,3,0
12,4,1,0,16,5,0
13,4,1,2,25,4,0
14,4,1,3,17,2,0
15,5,1,0,17,1,0
16,5,1,2,36,7,0
17,5,1,3,8,5,0
18,6,2,0,19,1,0
19,6,2,1,18,6,0
20,6,2,3,7,9,0
21,7,0,1,12,11,0
22,7,0,2,10,2,0
23,7,0,3,6,8,0
24,8,3,0,12,3,0
25,8,3,1,15,1,0
26,8,3,2,15,12,0
27,9,1,0,12,7,0
28,9,1,2,31,4,0
29,9,1,3,10,4,0
30,10,0,1,21,7,0
31,10,0,2,14,5,0
32,10,0,3,13,2,0
33,11,1,0,28,9,0
34,11,1,2,11,3,0
35,11,1,3,9,3,0
36,12,2,0,13,3,0
37,12,2,1,18,7,0
38,12,2,3,16,3,0
39,13,3,0,8,4,0
40,13,3,1,12,3,0
41,13,3,2,16,2,0
42,14,3,0,5,7,0
43,14,3,1,14,8,0
44,14,3,2,47,8,0
45,15,2,0,13,2,0
46,15,2,1,8,7,0
47,15,2,3,22,8,0
48,16,3,0,2,2,0
49,16,3,1,20,2,0
50,16,3,2,17,8,0
51,17,3,0,4,3,0
52,17,3,1,11,2,0
53,17,3,2,17,5,0
54,18,1,0,13,6,0
55,18,1,2,10,12,0
56,18,1,3,12,2,0
57,19,0,1,16,3,0
58,19,0,2,18,3,0
59,19,0,3,10,4,0
60,20,0,1,12,8,0
61,20,0,2,12,6,0
62,20,0,3,6,4,0
63,21,2,0,9,6,0
64,21,2,1,40,9,0
65,21,2,3,17,1,0
66,22,1,0,27,7,0
67,22,1,2,16,1,0
68,22,1,3,9,13,0
69,23,2,0,7,6,0
70,23,2,1,13,11,0
71,23,2,3,19,1,0
72,24,0,1,23,5,0
73,24,0,2,11,11,0
74,24,0,3,7,4,0
75,25,1,0,17,7,0
76,25,1,2,19,2,0
77,25,1,3,10,5,0
78,26,3,0,8,6,0
79,26,3,1,8,2,0
80,26,3,2,40,6,0
81,27,2,0,17,3,0
82,27,2,1,12,6,0
83,27,2,3,36,9,0
84,28,2,0,9,2,0
85,28,2,1,15,8,0
86,28,2,3,17,5,0
87,29,0,1,15,3,0
88,29,0,2,11,1,0
89,29,0,3,4,6,0
90,30,0,1,14,11,0
91,30,0,2,9,12,0
92,30,0,3,17,2,0
93,31,0,1,16,10,0
94,31,0,2,7,6,0
95,31,0,3,6,4,0
96,32,3,0,7,9,0
97,32,3,1,14,2,0
98,32,3,2,16,11,0
99,33,0,1,22,6,0
100,33,0,2,12,4,0
101,33,0,3,12,5,0
102,34,1,0,15,1,0
103,34,1,2,23,4,0
104,34,1,3,17,8,0
105,35,1,0,12,1,0
106,35,1,2,24,10,0
107,35,1,3,20,2,0
108,36,2,0,11,1,0
109,36,2,1,6,2,0
110,36,2,3,35,9,0
111,37,0,1,13,8,0
112,37,0,2,12,9,0
113,37,0,3,9,2,0
114,38,3,0,9,3,0
115,38,3,1,11,2,0
116,38,3,2,15,12,0
117,39,0,1,14,7,0
118,39,0,2,8,3,0
119,39,0,3,16,1,0
120,40,2,0,17,1,0
121,40,2,1,16,12,0
122,40,2,3,10,9,0
123,41,3,0,5,2,0
124,41,3,1,13,1,0
125,41,3,2,29,7,0
126,42,2,0,7,5,0
127,42,2,1,14,11,0
128,42,2,3,22,6,0
129,43,0,1,17,4,0
130,43,0,2,15,5,0
131,43,0,3,8,3,0
132,44,3,0,12,1,0
133,44,3,1,14,3,0
134,44,3,2,33,10,0
135,45,2,0,12,12,0
136,45,2,1,7,8,0
137,45,2,3,23,9,0
138,46,1,0,11,2,0
139,46,1,2,38,11,0
140,46,1,3,20,5,0
141,47,1,0,14,5,0
142,47,1,2,15,5,0
143,47,1,3,15,4,0
144,48,3,0,2,3,0
145,48,3,1,10,1,0
146,48,3,2,12,16,0
147,49,1,0,14,12,0
148,49,1,2,18,11,0
149,49,1,3,9,1,0
150,50,3,0,5,3,0
151,50,3,1,10,7,0
152,50,3,2,13,7,0
153,51,1,0,16,5,0
154,51,1,2,13,8,0
155,51,1,3,11,2,0
156,52,0,1,23,4,0
157,52,0,2,12,11,0
158,52,0,3,6,1,0
159,53,0,1,11,6,0
160,53,0,2,13,3,0
161,53,0,3,6,6,0
162,54,1,0,17,9,0
163,54,1,2,16,6,0
164,54,1,3,9,6,0
165,55,1,0,14,10,0
166,55,1,2,21,4,0
167,55,1,3,9,12,0
168,56,1,0,18,6,0
169,56,1,2,9,5,0
170,56,1,3,13,2,0
171,57,3,0,3,6,0
172,57,3,1,16,4,0
173,57,3,2,44,7,0
174,58,0,1,14,6,0
175,58,0,2,13,4,0
176,58,0,3,5,4,0
177,59,0,1,28,1,0
178,59,0,2,10,10,0
179,59,0,3,2,3,0
180,60,1,0,49,7,0
181,60,1,2,18,4,0
182,60,1,3,15,3,0
183,61,3,0,7,4,0
184,61,3,1,12,5,0
185,61,3,2,20,6,0
186,62,3,0,8,1,0
187,62,3,1,15,4,0
188,62,3,2,19,11,0
189,63,1,0,20,1,0
190,63,1,2,21,6,0
191,63,1,3,8,11,0
192,64,0,1,31,4,0
193,64,0,2,11,5,0
194,64,0,3,8,4,0
195,65,0,1,16,6,0
196,65,0,2,17,2,0
197,65,0,3,11,7,0
198,66,3,0,7,2,0
199,66,3,1,13,6,0
200,66,3,2,20,1,0
201,67,3,0,4,3,0
202,67,3,1,10,8,0
203,67,3,2,14,8,0
204,68,1,0,24,1,0
205,68,1,2,25,4,0
206,68,1,3,9,7,0
207,69,2,0,8,6,0
208,69,2,1,40,6,0
209,69,2,3,16,5,0
210,70,2,0,20,1,0
211,70,2,1,15,8,0
212,70,2,3,9,12,0
213,71,2,0,6,2,0
214,71,2,1,11,1,0
215,71,2,3,43,6,0
216,72,0,1,12,9,0
217,72,0,2,16,1,0
218,72,0,3,6,4,0
219,73,1,0,17,6,0
220,73,1,2,16,5,0
221,73,1,3,8,2,0
222,74,2,0,12,2,0
223,74,2,1,12,3,0
224,74,2,3,25,8,0
225,75,0,1,19,6,0
226,75,0,2,11,2,0
227,75,0,3,8,9,0
228,76,1,0,38,7,0
229,76,1,2,17,4,0
230,76,1,3,16,8,0
231,77,3,0,3,2,0
232,77,3,1,17,2,0
233,77,3,2,19,5,0
234,78,2,0,8,5,0
235,78,2,1,23,2,0
236,78,2,3,16,11,0
237,79,2,0,11,1,0
238,79,2,1,11,8,0
239,79,2,3,13,5,0
240,80,3,0,10,1,0
241,80,3,1,16,1,0
242,80,3,2,14,11,0
243,81,2,0,15,2,0
244,81,2,1,32,8,0
245,81,2,3,10,8,0
246,82,1,0,18,1,0
247,82,1,2,17,9,0
248,82,1,3,9,6,0
249,83,0,1,24,3,0
250,83,0,2,11,2,0
251,83,0,3,6,3,0
252,84,1,0,14,5,0
253,84,1,2,14,11,0
254,84,1,3,14,1,0
255,85,3,0,8,2,0
256,85,3,1,11,4,0
257,85,3,2,19,6,0
258,86,1,0,18,1,0
259,86,1,2,34,4,0
260,86,1,3,13,9,0
261,87,3,0,6,5,0
262,87,3,1,14,3,0
263,87,3,2,21,7,0
264,88,3,0,6,3,0
265,88,3,1,13,1,0
266,88,3,2,15,9,0
267,89,0,1,17,7,0
268,89,0,2,11,13,0
269,89,0,3,11,2,0
270,90,3,0,10,2,0
271,90,3,1,13,2,0
272,90,3,2,20,15,0
273,91,3,0,8,6,0
274,91,3,1,11,8,0
275,91,3,2,22,5,0
276,92,2,0,11,2,0
277,92,2,1,11,9,0
278,92,2,3,18,5,0
279,93,1,0,14,9,0
280,93,1,2,20,2,0
281,93,1,3,7,3,0
282,94,3,0,7,5,0
283,94,3,1,9,3,0
284,94,3,2,14,8,0
285,95,2,0,5,5,0
286,95,2,1,24,6,0
287,95,2,3,14,6,0
288,96,2,0,9,7,0
289,96,2,1,13,10,0
290,96,2,3,13,6,0
291,97,3,0,6,3,0
292,97,3,1,9,6,0
293,97,3,2,19,9,0
294,98,1,0,13,1,0
295,98,1,2,36,7,0
296,98,1,3,9,6,0
297,99,1,0,16,7,0
298,99,1,2,9,11,0
299,99,1,3,18,4,0
300,100,0,1,11,5,0
301,100,0,2,10,5,0
302,100,0,3,8,8,0
303,101,0,1,19,5,0
304,101,0,2,13,3,0
305,101,0,3,7,4,0
306,102,1,0,8,13,0
307,102,1,2,24,3,0
308,102,1,3,5,6,0
309,103,0,1,32,7,0
310,103,0,2,11,4,0
311,103,0,3,6,7,0
312,104,0,1,14,7,0
313,104,0,2,14,2,0
314,104,0,3,8,1,0
315,105,3,0,8,3,0
316,105,3,1,7,4,0
317,105,3,2,21,7,0
318,106,2,0,8,1,0
319,106,2,1,20,3,0
320,106,2,3,28,5,0
321,107,0,1,18,2,0
322,107,0,2,11,2,0
323,107,0,3,3,7,0
324,108,1,0,19,3,0
325,108,1,2,17,6,0
326,108,1,3,12,8,0
327,109,1,0,13,7,0
328,109,1,2,17,7,0
329,109,1,3,10,7,0
330,110,0,1,19,2,0
331,110,0,2,13,3,0
332,110,0,3,6,2,0
333,111,0,1,22,7,0
334,111,0,2,11,10,0
335,111,0,3,8,7,0
336,112,3,0,5,6,0
337,112,3,1,16,9,0
338,112,3,2,40,6,0
339,113,1,0,16,4,0
340,113,1,2,10,12,0
341,113,1,3,24,2,0
342,114,3,0,3,3,0
343,114,3,1,19,3,0
344,114,3,2,45,12,0
345,115,2,0,8,4,0
346,115,2,1,17,3,0
347,115,2,3,15,7,0
348,116,3,0,7,5,0
349,116,3,1,15,7,0
350,116,3,2,32,9,0
351,117,2,0,14,1,0
352,117,2,1,14,1,0
353,117,2,3,49,7,0
354,118,0,1,21,7,0
355,118,0,2,11,3,0
356,118,0,3,8,6,0
357,119,2,0,16,1,0
358,119,2,1,15,3,0
359,119,2,3,34,8,0
360,120,1,0,21,3,0
361,120,1,2,13,12,0
362,120,1,3,10,6,0
363,121,3,0,18,2,0
364,121,3,1,10,1,0
365,121,3,2,16,10,0
366,122,2,0,13,3,0
367,122,2,1,6,10,0
368,122,2,3,19,6,0
369,123,1,0,16,2,0
370,123,1,2,24,7,0
371,123,1,3,8,2,0
372,124,3,0,4,2,0
373,124,3,1,13,1,0
374,124,3,2,19,8,0
375,125,3,0,13,6,0
376,125,3,1,14,9,0
377,125,3,2,38,8,0
378,126,0,1,18,9,0
379,126,0,2,15,11,0
380,126,0,3,6,2,0
381,127,2,0,10,1,0
382,127,2,1,14,1,0
383,127,2,3,38,7,0
384,128,0,1,25,3,0
385,128,0,2,10,8,0
386,128,0,3,6,2,0
387,129,2,0,15,3,0
388,129,2,1,19,8,0
389,129,2,3,17,4,0
390,130,3,0,6,1,0
391,130,3,1,14,2,0
392,130,3,2,18,12,0
393,131,0,1,15,13,0
394,131,0,2,12,3,0
395,131,0,3,10,3,0
396,132,2,0,4,4,0
397,132,2,1,21,5,0
398,132,2,3,22,7,0
399,133,2,0,9,9,0
400,133,2,1,17,5,0
401,133,2,3,16,9,0
402,134,0,1,18,2,0
403,134,0,2,6,9,0
404,134,0,3,11,1,0
405,135,3,0,10,6,0
406,135,3,1,10,2,0
407,135,3,2,43,6,0
408,136,1,0,14,5,0
409,136,1,2,15,5,0
410,136,1,3,14,6,0
411,137,0,1,28,5,0
412,137,0,2,9,3,0
413,137,0,3,4,7,0
414,138,0,1,32,12,0
415,138,0,2,10,3,0
416,138,0,3,4,4,0
417,139,2,0,12,1,0
418,139,2,1,13,4,0
419,139,2,3,14,8,0
420,140,3,0,6,1,0
421,140,3,1,20,2,0
422,140,3,2,15,12,0
423,141,1,0,46,7,0
424,141,1,2,16,4,0
425,141,1,3,11,3,0
426,142,3,0,12,2,0
427,142,3,1,8,10,0
428,142,3,2,41,14,0
429,143,2,0,16,1,0
430,143,2,1,12,1,0
431,143,2,3,33,9,0
432,144,0,1,14,3,0
433,144,0,2,13,1,0
434,144,0,3,1,9,0
435,145,0,1,13,6,0
436,145,0,2,14,9,0
437,145,0,3,7,4,0
438,146,0,1,23,3,0
439,146,0,2,9,13,0
440,146,0,3,16,3,0
441,147,1,0,21,3,0
442,147,1,2,12,8,0
443,147,1,3,14,5,0
444,148,1,0,13,2,0
445,148,1,2,46,9,0
446,148,1,3,10,6,0
447,149,2,0,16,2,0
448,149,2,1,13,9,0
449,149,2,3,15,8,0
450,150,3,0,3,3,0
451,150,3,1,10,1,0
452,150,3,2,16,11,0
453,151,1,0,19,5,0
454,151,1,2,16,5,0
455,151,1,3,9,3,0
456,152,1,0,8,5,0
457,152,1,2,15,6,0
458,152,1,3,21,1,0
459,153,0,1,17,3,0
