,Datapoint No.,P,Q,Total Counterfactual Points
0,0,0,1,0
1,0,0,2,0
2,0,0,3,0
3,1,2,0,0
4,1,2,1,0
5,1,2,3,0
6,2,1,0,0
7,2,1,2,0
8,2,1,3,0
9,3,3,0,0
10,3,3,1,0
11,3,3,2,0
12,4,1,0,0
13,4,1,2,0
14,4,1,3,0
15,5,1,0,0
16,5,1,2,0
17,5,1,3,0
18,6,2,0,0
19,6,2,1,0
20,6,2,3,0
21,7,0,1,0
22,7,0,2,0
23,7,0,3,0
24,8,3,0,0
25,8,3,1,0
26,8,3,2,0
27,9,1,0,0
28,9,1,2,0
29,9,1,3,0
30,10,0,1,0
31,10,0,2,0
32,10,0,3,0
33,11,0,1,0
34,11,0,2,0
35,11,0,3,0
36,12,2,0,0
37,12,2,1,0
38,12,2,3,0
39,13,3,0,0
40,13,3,1,0
41,13,3,2,0
42,14,3,0,0
43,14,3,1,0
44,14,3,2,0
45,15,2,0,0
46,15,2,1,0
47,15,2,3,0
48,16,3,0,0
49,16,3,1,0
50,16,3,2,0
51,17,3,0,0
52,17,3,1,0
53,17,3,2,0
54,18,1,0,0
55,18,1,2,0
56,18,1,3,0
57,19,0,1,0
58,19,0,2,0
59,19,0,3,0
60,20,0,1,0
61,20,0,2,0
62,20,0,3,0
63,21,2,0,0
64,21,2,1,0
65,21,2,3,0
66,22,1,0,0
67,22,1,2,0
68,22,1,3,0
69,23,2,0,0
70,23,2,1,0
71,23,2,3,0
72,24,0,1,0
73,24,0,2,0
74,24,0,3,0
75,25,1,0,0
76,25,1,2,0
77,25,1,3,0
78,26,3,0,0
79,26,3,1,0
80,26,3,2,0
81,27,2,0,0
82,27,2,1,0
83,27,2,3,0
84,28,2,0,0
85,28,2,1,0
86,28,2,3,0
87,29,0,1,0
88,29,0,2,0
89,29,0,3,0
90,30,0,1,0
91,30,0,2,0
92,30,0,3,0
93,31,0,1,0
94,31,0,2,0
95,31,0,3,0
96,32,3,0,0
97,32,3,1,0
98,32,3,2,0
99,33,0,1,0
100,33,0,2,0
101,33,0,3,0
102,34,1,0,0
103,34,1,2,0
104,34,1,3,0
105,35,1,0,0
106,35,1,2,0
107,35,1,3,0
108,36,2,0,0
109,36,2,1,0
110,36,2,3,0
111,37,0,1,0
112,37,0,2,0
113,37,0,3,0
114,38,3,0,0
115,38,3,1,0
116,38,3,2,0
117,39,0,1,0
118,39,0,2,0
119,39,0,3,0
120,40,2,0,0
121,40,2,1,0
122,40,2,3,0
123,41,3,0,0
124,41,3,1,0
125,41,3,2,0
126,42,2,0,0
127,42,2,1,0
128,42,2,3,0
129,43,0,1,0
130,43,0,2,0
131,43,0,3,0
132,44,2,0,0
133,44,2,1,0
134,44,2,3,0
135,45,3,0,0
136,45,3,1,0
137,45,3,2,0
138,46,2,0,0
139,46,2,1,0
140,46,2,3,0
141,47,1,0,0
142,47,1,2,0
143,47,1,3,0
144,48,3,0,0
145,48,3,1,0
146,48,3,2,0
147,49,1,0,0
148,49,1,2,0
149,49,1,3,0
150,50,3,0,0
151,50,3,1,0
152,50,3,2,0
153,51,1,0,0
154,51,1,2,0
155,51,1,3,0
156,52,0,1,0
157,52,0,2,0
158,52,0,3,0
159,53,0,1,0
160,53,0,2,0
161,53,0,3,0
162,54,1,0,0
163,54,1,2,0
164,54,1,3,0
165,55,0,1,0
166,55,0,2,0
167,55,0,3,0
168,56,1,0,0
169,56,1,2,0
170,56,1,3,0
171,57,3,0,0
172,57,3,1,0
173,57,3,2,0
174,58,0,1,0
175,58,0,2,0
176,58,0,3,0
177,59,0,1,0
178,59,0,2,0
179,59,0,3,0
180,60,1,0,0
181,60,1,2,0
182,60,1,3,0
183,61,3,0,0
184,61,3,1,0
185,61,3,2,0
186,62,3,0,0
187,62,3,1,0
188,62,3,2,0
189,63,1,0,0
190,63,1,2,0
191,63,1,3,0
192,64,0,1,0
193,64,0,2,0
194,64,0,3,0
195,65,0,1,0
196,65,0,2,0
197,65,0,3,0
198,66,3,0,0
199,66,3,1,0
200,66,3,2,0
201,67,3,0,0
202,67,3,1,0
203,67,3,2,0
204,68,1,0,0
205,68,1,2,0
206,68,1,3,0
207,69,2,0,0
208,69,2,1,0
209,69,2,3,0
210,70,2,0,0
211,70,2,1,0
212,70,2,3,0
213,71,2,0,0
214,71,2,1,0
215,71,2,3,0
216,72,0,1,0
217,72,0,2,0
218,72,0,3,0
219,73,1,0,0
220,73,1,2,0
221,73,1,3,0
222,74,2,0,0
223,74,2,1,0
224,74,2,3,0
225,75,0,1,0
226,75,0,2,0
227,75,0,3,0
228,76,1,0,0
229,76,1,2,0
230,76,1,3,0
231,77,3,0,0
232,77,3,1,0
233,77,3,2,0
234,78,2,0,0
235,78,2,1,0
236,78,2,3,0
237,79,2,0,0
238,79,2,1,0
239,79,2,3,0
240,80,3,0,0
241,80,3,1,0
242,80,3,2,0
243,81,2,0,0
244,81,2,1,0
245,81,2,3,0
246,82,1,0,0
247,82,1,2,0
248,82,1,3,0
249,83,0,1,0
250,83,0,2,0
251,83,0,3,0
252,84,1,0,0
253,84,1,2,0
254,84,1,3,0
255,85,3,0,0
256,85,3,1,0
257,85,3,2,0
258,86,1,0,0
259,86,1,2,0
260,86,1,3,0
261,87,3,0,0
262,87,3,1,0
263,87,3,2,0
264,88,3,0,0
265,88,3,1,0
266,88,3,2,0
267,89,0,1,0
268,89,0,2,0
269,89,0,3,0
270,90,3,0,0
271,90,3,1,0
272,90,3,2,0
273,91,3,0,0
274,91,3,1,0
275,91,3,2,0
276,92,2,0,0
277,92,2,1,0
278,92,2,3,0
279,93,1,0,0
280,93,1,2,0
281,93,1,3,0
282,94,3,0,0
283,94,3,1,0
284,94,3,2,0
285,95,2,0,0
286,95,2,1,0
287,95,2,3,0
288,96,2,0,0
289,96,2,1,0
290,96,2,3,0
291,97,3,0,0
292,97,3,1,0
293,97,3,2,0
294,98,1,0,0
295,98,1,2,0
296,98,1,3,0
297,99,1,0,0
298,99,1,2,0
299,99,1,3,0
