,Datapoint No.,P,Q,Total Counterfactual Points
0,0,2,0,0
1,0,2,1,0
2,1,1,0,0
3,1,1,2,0
4,2,0,1,0
5,2,0,2,0
6,3,2,0,0
7,3,2,1,0
8,4,0,1,0
9,4,0,2,0
10,5,2,0,0
11,5,2,1,0
12,6,0,1,0
13,6,0,2,0
14,7,1,0,0
15,7,1,2,0
16,8,1,0,0
17,8,1,2,0
18,9,1,0,0
19,9,1,2,0
20,10,2,0,0
21,10,2,1,0
22,11,1,0,0
23,11,1,2,0
24,12,1,0,0
25,12,1,2,0
26,13,1,0,0
27,13,1,2,0
28,14,1,0,0
29,14,1,2,0
30,15,0,1,0
31,15,0,2,0
32,16,1,0,0
33,16,1,2,0
34,17,1,0,0
35,17,1,2,0
36,18,0,1,0
37,18,0,2,0
38,19,0,1,0
39,19,0,2,0
40,20,2,0,0
41,20,2,1,0
42,21,1,0,0
43,21,1,2,0
44,22,0,1,0
45,22,0,2,0
46,23,0,1,0
47,23,0,2,0
48,24,2,0,0
49,24,2,1,0
50,25,0,1,0
51,25,0,2,0
52,26,0,1,0
53,26,0,2,0
54,27,1,0,0
55,27,1,2,0
56,28,1,0,0
57,28,1,2,0
58,29,0,1,0
59,29,0,2,0
