,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,0,3,0,0,3,0
1,0,3,1,1,5,0
2,0,3,2,41,7,0
3,0,3,4,0,7,0
4,0,3,5,0,7,0
5,1,2,0,0,3,0
6,1,2,1,0,4,0
7,1,2,3,3,6,0
8,1,2,4,0,7,0
9,1,2,5,0,7,0
10,2,3,0,0,6,0
11,2,3,1,0,7,0
12,2,3,2,18,6,0
13,2,3,4,0,3,0
14,2,3,5,0,6,0
15,3,3,0,1,6,0
16,3,3,1,0,7,0
17,3,3,2,14,4,0
18,3,3,4,1,5,0
19,3,3,5,0,6,0
20,4,3,0,0,6,0
21,4,3,1,0,6,0
22,4,3,2,13,6,0
23,4,3,4,0,6,0
24,4,3,5,0,7,0
25,5,3,0,0,5,0
26,5,3,1,0,5,0
27,5,3,2,24,7,0
28,5,3,4,1,7,0
29,5,3,5,0,5,0
30,6,2,0,0,4,0
31,6,2,1,0,6,0
32,6,2,3,0,7,0
33,6,2,4,0,7,0
34,6,2,5,0,5,0
35,7,2,0,0,5,0
36,7,2,1,0,2,0
37,7,2,3,13,6,0
38,7,2,4,6,8,0
39,7,2,5,0,7,0
40,8,2,0,0,7,0
41,8,2,1,0,8,0
42,8,2,3,25,7,0
43,8,2,4,2,5,0
44,8,2,5,0,6,0
45,9,2,0,0,5,0
46,9,2,1,0,4,0
47,9,2,3,13,5,0
48,9,2,4,4,9,0
49,9,2,5,0,5,0
50,10,5,0,0,7,0
51,10,5,1,1,7,0
52,10,5,2,13,5,0
53,10,5,3,15,7,0
54,10,5,4,7,3,0
55,11,2,0,1,3,0
56,11,2,1,1,1,0
57,11,2,3,15,10,0
58,11,2,4,2,8,0
59,11,2,5,0,7,0
60,12,3,0,0,5,0
61,12,3,1,0,6,0
62,12,3,2,19,7,0
63,12,3,4,0,4,0
64,12,3,5,0,7,0
65,13,3,0,0,4,0
66,13,3,1,0,5,0
67,13,3,2,10,4,0
68,13,3,4,2,8,0
69,13,3,5,0,7,0
70,14,3,0,0,7,0
71,14,3,1,0,7,0
