,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,0,2,0,0,8,0
1,0,2,1,0,2,0
2,0,2,3,17,8,0
3,0,2,4,1,9,0
4,0,2,5,0,9,0
5,1,2,0,0,6,0
6,1,2,1,0,4,0
7,1,2,3,3,6,0
8,1,2,4,0,7,0
9,1,2,5,0,7,0
10,2,2,0,0,5,0
11,2,2,1,0,5,0
12,2,2,3,32,6,0
13,2,2,4,3,6,0
14,2,2,5,0,6,0
15,3,2,0,0,7,0
16,3,2,1,0,4,0
17,3,2,3,29,7,0
18,3,2,4,2,7,0
19,3,2,5,0,7,0
20,4,3,0,0,2,0
21,4,3,1,0,6,0
22,4,3,2,15,7,0
23,4,3,4,2,5,0
24,4,3,5,0,4,0
25,5,2,0,0,5,0
26,5,2,1,0,5,0
27,5,2,3,23,5,0
28,5,2,4,3,7,0
29,5,2,5,0,6,0
30,6,2,0,0,4,0
31,6,2,1,0,3,0
32,6,2,3,0,4,0
33,6,2,4,0,7,0
34,6,2,5,0,7,0
35,7,2,0,0,8,0
36,7,2,1,0,3,0
37,7,2,3,21,8,0
38,7,2,4,5,8,0
39,7,2,5,0,8,0
40,8,3,0,0,2,0
41,8,3,1,0,8,0
42,8,3,2,36,8,0
43,8,3,4,1,3,0
44,8,3,5,0,3,0
45,9,3,0,0,3,0
46,9,3,1,0,6,0
47,9,3,2,20,7,0
48,9,3,4,0,5,0
49,9,3,5,0,5,0
50,10,3,0,0,4,0
51,10,3,1,0,5,0
52,10,3,2,11,6,0
53,10,3,4,6,6,0
54,10,3,5,0,5,0
55,11,2,0,0,7,0
56,11,2,1,0,4,0
57,11,2,3,27,7,0
58,11,2,4,1,7,0
59,11,2,5,0,7,0
60,12,2,0,0,4,0
61,12,2,1,0,5,0
62,12,2,3,27,5,0
63,12,2,4,1,5,0
64,12,2,5,0,5,0
65,13,2,0,0,6,0
66,13,2,1,0,4,0
67,13,2,3,29,6,0
68,13,2,4,2,7,0
69,13,2,5,0,7,0
70,14,2,0,0,5,0
71,14,2,1,0,6,0
72,14,2,3,32,5,0
73,14,2,4,0,5,0
74,14,2,5,0,5,0
75,15,4,0,0,7,0
76,15,4,1,0,7,0
77,15,4,2,9,7,0
78,15,4,3,34,7,0
79,15,4,5,0,4,0
80,16,2,0,0,7,0
81,16,2,1,0,3,0
82,16,2,3,6,7,0
83,16,2,4,0,8,0
84,16,2,5,0,8,0
85,17,2,0,0,6,0
86,17,2,1,0,3,0
87,17,2,3,18,7,0
88,17,2,4,2,7,0
89,17,2,5,0,7,0
90,18,4,0,0,8,0
91,18,4,1,0,9,0
92,18,4,2,9,9,0
93,18,4,3,40,7,0
94,18,4,5,0,2,0
95,19,2,0,0,7,0
96,19,2,1,0,5,0
97,19,2,3,9,7,0
98,19,2,4,0,7,0
99,19,2,5,0,6,0
100,20,3,0,0,5,0
101,20,3,1,0,6,0
102,20,3,2,23,6,0
103,20,3,4,1,5,0
104,20,3,5,0,5,0
105,21,2,0,0,6,0
106,21,2,1,0,4,0
107,21,2,3,14,7,0
108,21,2,4,0,7,0
109,21,2,5,0,7,0
110,22,3,0,0,2,0
111,22,3,1,0,5,0
112,22,3,2,21,5,0
113,22,3,4,12,6,0
114,22,3,5,0,6,0
115,23,4,0,0,7,0
116,23,4,1,0,8,0
117,23,4,2,8,7,0
118,23,4,3,28,6,0
119,23,4,5,0,4,0
120,24,2,0,0,7,0
121,24,2,1,0,4,0
122,24,2,3,24,7,0
123,24,2,4,3,7,0
124,24,2,5,0,7,0
125,25,2,0,0,6,0
126,25,2,1,0,4,0
127,25,2,3,23,6,0
128,25,2,4,1,7,0
129,25,2,5,0,7,0
130,26,3,0,0,4,0
131,26,3,1,0,7,0
132,26,3,2,30,8,0
133,26,3,4,3,4,0
134,26,3,5,0,4,0
135,27,2,0,0,6,0
136,27,2,1,0,2,0
137,27,2,3,24,6,0
138,27,2,4,1,9,0
139,27,2,5,0,9,0
140,28,2,0,0,6,0
141,28,2,1,0,4,0
142,28,2,3,6,6,0
143,28,2,4,0,7,0
144,28,2,5,0,7,0
145,29,3,0,0,4,0
146,29,3,1,0,6,0
147,29,3,2,17,6,0
148,29,3,4,5,5,0
149,29,3,5,0,5,0
150,30,2,0,0,8,0
151,30,2,1,0,5,0
152,30,2,3,11,8,0
153,30,2,4,0,8,0
154,30,2,5,0,8,0
155,31,2,0,0,4,0
156,31,2,1,0,5,0
157,31,2,3,37,4,0
158,31,2,4,1,6,0
159,31,2,5,0,6,0
160,32,3,0,0,4,0
161,32,3,1,0,7,0
162,32,3,2,34,7,0
163,32,3,4,0,4,0
164,32,3,5,0,4,0
165,33,2,0,0,6,0
166,33,2,1,0,4,0
167,33,2,3,20,7,0
168,33,2,4,5,7,0
169,33,2,5,0,7,0
170,34,2,0,0,7,0
171,34,2,1,0,5,0
172,34,2,3,22,7,0
