,Datapoint No.,P,Q,Total Counterfactual Points,SHAP fields,Common Points
0,0,2,0,0,8,0
1,0,2,1,0,5,0
2,0,2,3,29,6,0
3,0,2,4,3,8,0
4,0,2,5,0,9,0
5,1,2,0,0,6,0
6,1,2,1,0,5,0
7,1,2,3,5,8,0
8,1,2,4,1,9,0
9,1,2,5,0,7,0
10,2,2,0,0,3,0
11,2,2,1,0,7,0
12,2,2,3,30,6,0
13,2,2,4,8,8,0
14,2,2,5,0,9,0
15,3,2,0,0,4,0
16,3,2,1,0,5,0
17,3,2,3,31,4,0
18,3,2,4,3,11,3
19,3,2,5,0,8,0
20,4,3,0,0,8,0
21,4,3,1,0,8,0
22,4,3,2,11,10,0
23,4,3,4,6,9,0
24,4,3,5,0,8,0
25,5,2,0,0,7,0
26,5,2,1,0,9,0
27,5,2,3,25,6,0
28,5,2,4,2,11,2
29,5,2,5,0,7,0
30,6,2,0,0,10,0
31,6,2,1,1,10,0
32,6,2,3,3,10,1
33,6,2,4,0,10,0
34,6,2,5,0,8,0
35,7,2,0,0,4,0
36,7,2,1,0,4,0
37,7,2,3,17,8,0
38,7,2,4,6,7,0
39,7,2,5,0,9,0
40,8,3,0,0,6,0
41,8,3,1,0,6,0
42,8,3,2,30,6,0
43,8,3,4,7,4,0
44,8,3,5,0,4,0
45,9,3,0,1,8,0
46,9,3,1,3,4,0
47,9,3,2,21,6,0
48,9,3,4,0,5,0
49,9,3,5,0,6,0
50,10,4,0,0,6,0
51,10,4,1,2,6,0
52,10,4,2,12,9,0
53,10,4,3,36,8,0
54,10,4,5,1,7,0
55,11,2,0,0,6,0
56,11,2,1,0,3,0
57,11,2,3,27,8,0
58,11,2,4,5,9,1
59,11,2,5,0,6,0
60,12,3,0,0,6,0
61,12,3,1,1,8,0
62,12,3,2,16,10,0
63,12,3,4,5,8,0
64,12,3,5,0,8,0
65,13,2,0,0,6,0
66,13,2,1,0,9,0
67,13,2,3,33,4,0
68,13,2,4,7,11,7
69,13,2,5,0,7,0
70,14,3,0,0,8,0
71,14,3,1,0,7,0
72,14,3,2,33,6,0
73,14,3,4,1,9,0
74,14,3,5,0,8,0
75,15,3,0,1,9,0
76,15,3,1,1,6,0
77,15,3,2,17,7,0
78,15,3,4,25,2,0
79,15,3,5,1,5,0
80,16,2,0,0,5,0
81,16,2,1,0,8,0
82,16,2,3,26,4,0
83,16,2,4,3,10,0
84,16,2,5,1,11,1
85,17,3,0,0,7,0
86,17,3,1,0,6,0
87,17,3,2,30,7,0
88,17,3,4,0,4,0
89,17,3,5,0,7,0
90,18,4,0,0,9,0
91,18,4,1,0,8,0
92,18,4,2,16,8,0
93,18,4,3,17,10,0
94,18,4,5,0,5,0
95,19,2,0,0,8,0
96,19,2,1,0,8,0
97,19,2,3,20,10,0
98,19,2,4,1,10,0
99,19,2,5,0,9,0
100,20,2,0,0,2,0
101,20,2,1,1,3,0
102,20,2,3,14,10,0
103,20,2,4,8,8,0
104,20,2,5,0,8,0
105,21,3,0,0,8,0
106,21,3,1,1,9,0
107,21,3,2,18,11,18
108,21,3,4,1,8,0
109,21,3,5,0,8,0
110,22,2,0,0,6,0
111,22,2,1,0,4,0
112,22,2,3,33,7,0
113,22,2,4,13,6,0
114,22,2,5,0,6,0
115,23,3,0,0,8,0
116,23,3,1,1,7,0
117,23,3,2,11,7,0
118,23,3,4,23,4,0
119,23,3,5,0,10,0
120,24,3,0,0,6,0
121,24,3,1,0,6,0
122,24,3,2,38,7,0
123,24,3,4,3,5,0
124,24,3,5,1,9,0
125,25,3,0,0,7,0
126,25,3,1,1,9,0
127,25,3,2,22,10,1
128,25,3,4,10,8,0
129,25,3,5,0,8,0
130,26,3,0,0,6,0
131,26,3,1,0,8,0
132,26,3,2,21,9,0
133,26,3,4,35,3,0
134,26,3,5,0,3,0
135,27,2,0,0,6,0
136,27,2,1,0,5,0
137,27,2,3,33,6,0
138,27,2,4,0,6,0
139,27,2,5,0,9,0
140,28,2,0,0,7,0
141,28,2,1,0,8,0
142,28,2,3,14,7,0
143,28,2,4,1,7,0
144,28,2,5,0,9,0
145,29,3,0,0,6,0
146,29,3,1,0,7,0
147,29,3,2,15,9,0
148,29,3,4,16,8,0
149,29,3,5,0,6,0
150,30,2,0,0,7,0
151,30,2,1,0,8,0
152,30,2,3,18,6,0
153,30,2,4,1,9,0
154,30,2,5,0,9,0
155,31,2,0,0,7,0
156,31,2,1,1,6,0
157,31,2,3,21,7,0
158,31,2,4,2,7,0
159,31,2,5,0,7,0
160,32,3,0,0,7,0
161,32,3,1,0,8,0
162,32,3,2,29,9,0
163,32,3,4,2,8,0
164,32,3,5,0,4,0
165,33,3,0,0,6,0
166,33,3,1,0,2,0
167,33,3,2,31,8,0
168,33,3,4,2,6,0
169,33,3,5,0,5,0
170,34,3,0,0,5,0
171,34,3,1,0,9,0
172,34,3,2,21,8,0
173,34,3,4,4,8,0
174,34,3,5,0,7,0
175,35,2,0,0,8,0
176,35,2,1,0,4,0
177,35,2,3,19,6,0
